date,value
17-Oct-09,24
18-Oct-09,10
19-Oct-09,1
20-Oct-09,2
21-Oct-09,7
22-Oct-09,3
23-Oct-09,5
24-Oct-09,21
25-Oct-09,11
26-Oct-09,8
27-Oct-09,5
28-Oct-09,5
29-Oct-09,5
30-Oct-09,5
31-Oct-09,6
01-Nov-09,8
02-Nov-09,9
03-Nov-09,12
04-Nov-09,4
05-Nov-09,5
06-Nov-09,12
07-Nov-09,9
08-Nov-09,1
09-Nov-09,1
10-Nov-09,3
11-Nov-09,13
12-Nov-09,6
13-Nov-09,11
14-Nov-09,16
15-Nov-09,17
16-Nov-09,8
17-Nov-09,7
18-Nov-09,14
19-Nov-09,7
20-Nov-09,9
21-Nov-09,5
22-Nov-09,15
23-Nov-09,6
24-Nov-09,14
25-Nov-09,14
26-Nov-09,11
27-Nov-09,10
28-Nov-09,15
29-Nov-09,16
30-Nov-09,8
01-Dec-09,11
02-Dec-09,11
03-Dec-09,9
04-Dec-09,7
05-Dec-09,11
06-Dec-09,7
07-Dec-09,3
08-Dec-09,2
09-Dec-09,6
10-Dec-09,2
11-Dec-09,3
12-Dec-09,5
13-Dec-09,9
14-Dec-09,7
15-Dec-09,6
16-Dec-09,4
17-Dec-09,5
18-Dec-09,13
19-Dec-09,14
20-Dec-09,11
21-Dec-09,9
22-Dec-09,4
23-Dec-09,4
24-Dec-09,12
25-Dec-09,13
26-Dec-09,12
27-Dec-09,6
28-Dec-09,2
30-Dec-09,6
31-Dec-09,35
01-Jan-10,52
02-Jan-10,10
03-Jan-10,14
04-Jan-10,6
05-Jan-10,8
06-Jan-10,5
07-Jan-10,2
08-Jan-10,6
09-Jan-10,9
10-Jan-10,9
11-Jan-10,8
12-Jan-10,7
13-Jan-10,6
14-Jan-10,4
15-Jan-10,7
16-Jan-10,10
17-Jan-10,12
18-Jan-10,2
19-Jan-10,2
20-Jan-10,6
21-Jan-10,5
22-Jan-10,2
23-Jan-10,7
24-Jan-10,11
25-Jan-10,7
26-Jan-10,6
27-Jan-10,7
28-Jan-10,1
29-Jan-10,8
30-Jan-10,9
31-Jan-10,8
01-Feb-10,10
02-Feb-10,11
03-Feb-10,6
04-Feb-10,5
05-Feb-10,11
06-Feb-10,9
07-Feb-10,14
08-Feb-10,11
09-Feb-10,7
10-Feb-10,6
11-Feb-10,7
12-Feb-10,4
13-Feb-10,6
14-Feb-10,17
15-Feb-10,14
16-Feb-10,5
17-Feb-10,20
18-Feb-10,6
19-Feb-10,12
20-Feb-10,13
21-Feb-10,17
22-Feb-10,7
23-Feb-10,1
24-Feb-10,7
25-Feb-10,4
26-Feb-10,5
27-Feb-10,9
28-Feb-10,9
01-Mar-10,5
02-Mar-10,8
03-Mar-10,4
04-Mar-10,8
05-Mar-10,8
06-Mar-10,10
07-Mar-10,5
08-Mar-10,4
09-Mar-10,6
10-Mar-10,2
11-Mar-10,4
12-Mar-10,4
13-Mar-10,14
14-Mar-10,13
15-Mar-10,9
16-Mar-10,7
17-Mar-10,10
18-Mar-10,4
19-Mar-10,5
09-Apr-10,6
10-Apr-10,12
11-Apr-10,7
12-Apr-10,7
13-Apr-10,4
14-Apr-10,3
15-Apr-10,3
16-Apr-10,7
17-Apr-10,12
18-Apr-10,9
19-Apr-10,9
20-Apr-10,8
21-Apr-10,2
22-Apr-10,4
23-Apr-10,6
24-Apr-10,12
25-Apr-10,5
26-Apr-10,6
27-Apr-10,6
28-Apr-10,9
29-Apr-10,4
30-Apr-10,5
01-May-10,13
02-May-10,10
03-May-10,4
04-May-10,6
05-May-10,2
06-May-10,3
07-May-10,10
08-May-10,5
09-May-10,5
10-May-10,4
11-May-10,7
12-May-10,7
13-May-10,1
14-May-10,11
15-May-10,6
16-May-10,3
17-May-10,5
18-May-10,6
19-May-10,2
20-May-10,2
21-May-10,7
22-May-10,7
23-May-10,12
24-May-10,6
25-May-10,1
26-May-10,2
27-May-10,5
28-May-10,2
29-May-10,10
30-May-10,10
31-May-10,11
01-Jun-10,5
02-Jun-10,2
03-Jun-10,4
04-Jun-10,5
05-Jun-10,8
06-Jun-10,7
07-Jun-10,2
08-Jun-10,4
09-Jun-10,10
10-Jun-10,13
11-Jun-10,6
12-Jun-10,21
13-Jun-10,15
14-Jun-10,10
15-Jun-10,24
16-Jun-10,17
17-Jun-10,21
18-Jun-10,15
19-Jun-10,20
20-Jun-10,17
21-Jun-10,13
22-Jun-10,15
23-Jun-10,13
24-Jun-10,16
25-Jun-10,18
26-Jun-10,39
27-Jun-10,26
28-Jun-10,28
29-Jun-10,26
30-Jun-10,17
01-Jul-10,25
02-Jul-10,23
03-Jul-10,29
04-Jul-10,63
05-Jul-10,75
06-Jul-10,9
07-Jul-10,9
08-Jul-10,14
09-Jul-10,11
10-Jul-10,11
11-Jul-10,22
12-Jul-10,12
13-Jul-10,18
14-Jul-10,16
15-Jul-10,15
16-Jul-10,9
17-Jul-10,21
18-Jul-10,8
19-Jul-10,6
20-Jul-10,7
21-Jul-10,3
22-Jul-10,5
23-Jul-10,11
24-Jul-10,11
25-Jul-10,13
26-Jul-10,3
27-Jul-10,11
28-Jul-10,6
29-Jul-10,9
30-Jul-10,6
31-Jul-10,11
01-Aug-10,13
02-Aug-10,4
03-Aug-10,7
04-Aug-10,13
05-Aug-10,4
06-Aug-10,7
07-Aug-10,20
08-Aug-10,10
09-Aug-10,5
10-Aug-10,8
11-Aug-10,3
12-Aug-10,4
13-Aug-10,8
14-Aug-10,6
15-Aug-10,16
16-Aug-10,7
17-Aug-10,6
18-Aug-10,4
19-Aug-10,4
20-Aug-10,5
21-Aug-10,10
22-Aug-10,9
23-Aug-10,11
24-Aug-10,5
25-Aug-10,3
26-Aug-10,4
27-Aug-10,8
28-Aug-10,12
29-Aug-10,14
30-Aug-10,2
31-Aug-10,7
01-Sep-10,3
02-Sep-10,8
03-Sep-10,9
04-Sep-10,6
05-Sep-10,11
06-Sep-10,8
07-Sep-10,6
08-Sep-10,7
09-Sep-10,4
10-Sep-10,9
11-Sep-10,13
12-Sep-10,9
13-Sep-10,14
14-Sep-10,4
15-Sep-10,9
16-Sep-10,2
17-Sep-10,8
18-Sep-10,9
19-Sep-10,8
20-Sep-10,2
21-Sep-10,6
22-Sep-10,5
23-Sep-10,9
24-Sep-10,6
25-Sep-10,10
26-Sep-10,15
27-Sep-10,9
28-Sep-10,13
29-Sep-10,10
30-Sep-10,8
01-Oct-10,8
02-Oct-10,13
03-Oct-10,10
04-Oct-10,2
05-Oct-10,9
06-Oct-10,7
07-Oct-10,9
08-Oct-10,13
09-Oct-10,16
10-Oct-10,14
11-Oct-10,10
12-Oct-10,9
13-Oct-10,7
14-Oct-10,7
15-Oct-10,10
16-Oct-10,19
17-Oct-10,11
18-Oct-10,13
19-Oct-10,3
20-Oct-10,4
21-Oct-10,9
22-Oct-10,9
23-Oct-10,15
24-Oct-10,7
25-Oct-10,6
26-Oct-10,10
27-Oct-10,11
28-Oct-10,9
29-Oct-10,6
30-Oct-10,11
31-Oct-10,7
01-Nov-10,11
02-Nov-10,10
03-Nov-10,14
04-Nov-10,12
05-Nov-10,6
06-Nov-10,12
07-Nov-10,4
08-Nov-10,3
09-Nov-10,3
11-Nov-10,1
12-Nov-10,9
13-Nov-10,9
14-Nov-10,6
15-Nov-10,5
16-Nov-10,2
17-Nov-10,3
18-Nov-10,3
19-Nov-10,5
20-Nov-10,1
17-Dec-10,1
22-Dec-10,3
23-Dec-10,1
24-Dec-10,8
25-Dec-10,13
26-Dec-10,8
27-Dec-10,2
28-Dec-10,2
29-Dec-10,2
30-Dec-10,4
31-Dec-10,17
01-Jan-11,4
27-Jul-11,2
28-Jul-11,1
29-Jul-11,6
30-Jul-11,11
31-Jul-11,11
01-Aug-11,4
02-Aug-11,2
03-Aug-11,3
05-Aug-11,3
06-Aug-11,8
07-Aug-11,11
08-Aug-11,2
10-Aug-11,4
12-Aug-11,3
13-Aug-11,16
14-Aug-11,15
15-Aug-11,6
16-Aug-11,5
17-Aug-11,2
18-Aug-11,3
19-Aug-11,9
20-Aug-11,4
21-Aug-11,5
22-Aug-11,7
23-Aug-11,4
25-Aug-11,2
26-Aug-11,3
27-Aug-11,6
28-Aug-11,4
29-Aug-11,2
30-Aug-11,3
31-Aug-11,5
01-Sep-11,4
02-Sep-11,6
03-Sep-11,12
04-Sep-11,8
05-Sep-11,6
06-Sep-11,2
07-Sep-11,3
08-Sep-11,7
09-Sep-11,2
10-Sep-11,4
11-Sep-11,11
12-Sep-11,9
13-Sep-11,2
14-Sep-11,3
15-Sep-11,3
16-Sep-11,4
17-Sep-11,8
18-Sep-11,18
19-Sep-11,7
20-Sep-11,8
21-Sep-11,4
22-Sep-11,3
23-Sep-11,4
24-Sep-11,10
25-Sep-11,13
26-Sep-11,7
27-Sep-11,3
28-Sep-11,7
29-Sep-11,7
30-Sep-11,7
01-Oct-11,8
02-Oct-11,9
03-Oct-11,5
05-Oct-11,5
06-Oct-11,3
07-Oct-11,7
08-Oct-11,12
09-Oct-11,4
10-Oct-11,4
11-Oct-11,2
12-Oct-11,3
13-Oct-11,3
14-Oct-11,8
15-Oct-11,14
16-Oct-11,8
17-Oct-11,7
18-Oct-11,3
19-Oct-11,4
20-Oct-11,1
21-Oct-11,3
22-Oct-11,15
23-Oct-11,6
24-Oct-11,4
25-Oct-11,8
26-Oct-11,6
27-Oct-11,3
28-Oct-11,6
29-Oct-11,12
30-Oct-11,17
31-Oct-11,12
01-Nov-11,4
02-Nov-11,5
03-Nov-11,4
04-Nov-11,8
05-Nov-11,8
06-Nov-11,11
07-Nov-11,12
08-Nov-11,6
09-Nov-11,3
10-Nov-11,5
11-Nov-11,8
12-Nov-11,15
13-Nov-11,10
14-Nov-11,5
15-Nov-11,13
16-Nov-11,6
17-Nov-11,4
18-Nov-11,8
19-Nov-11,5
20-Nov-11,12
21-Nov-11,5
26-Nov-11,2
28-Nov-11,1
08-Dec-11,3
09-Dec-11,18
10-Dec-11,7
11-Dec-11,9
12-Dec-11,7
13-Dec-11,6
14-Dec-11,12
15-Dec-11,10
16-Dec-11,18
17-Dec-11,20
18-Dec-11,10
19-Dec-11,9
20-Dec-11,15
21-Dec-11,18
22-Dec-11,7
23-Dec-11,8
24-Dec-11,11
25-Dec-11,20
26-Dec-11,12
27-Dec-11,9
28-Dec-11,17
29-Dec-11,7
30-Dec-11,14
31-Dec-11,74
01-Jan-12,107
02-Jan-12,17
03-Jan-12,1
04-Jan-12,8
05-Jan-12,7
06-Jan-12,8
07-Jan-12,17
08-Jan-12,15
09-Jan-12,7
10-Jan-12,5
11-Jan-12,8
12-Jan-12,14
13-Jan-12,12
14-Jan-12,25
15-Jan-12,8
16-Jan-12,13
17-Jan-12,9
18-Jan-12,5
19-Jan-12,6
20-Jan-12,8
21-Jan-12,12
22-Jan-12,17
